condition,fold,round_id,run_id,sampling_strategy,catalog_remaining,candidate_pool_size,selected_batch_size,candidate_pool_mutated_positions_json,selected_mutated_positions_json,candidate_pool_unique_mutated_position_count,selected_unique_mutated_position_count,scientist_preferred_position_count,scientist_covers_all_configured_positions,scientist_preferred_residues_json,candidate_depth_1_count,candidate_depth_2_count,candidate_depth_3_count,candidate_depth_4_count,selected_depth_1_count,selected_depth_2_count,selected_depth_3_count,selected_depth_4_count,selected_mean_mutation_count,selected_min_mutation_count,selected_max_mutation_count,new_complete_variant_count_vs_pre_round_visible,new_mutated_position_count_vs_pre_round_visible,new_position_residue_pair_count_vs_pre_round_visible,new_mutated_position_count_vs_campaign_selected,new_position_residue_pair_count_vs_campaign_selected,hamming_one_from_previous_round_count,strict_add_one_from_previous_round_count,candidate_pool_receipt_path,scientist_conversation_path
kg_base,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""I"",""L""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}",0,0,11,21,0,0,6,10,3.625,3,4,16,0,0,0,11,5,1,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base-f00-20260820T215844671400Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
kg_base,1,1,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H"",""A"",""I"",""V"",""N""],""41"":[""G""],""54"":[""A"",""C""]}",0,0,32,0,0,0,16,0,3,3,3,16,0,0,4,15,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base,1,2,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""I"",""L"",""M"",""V"",""C""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A"",""V""]}",0,18,14,0,0,8,8,0,2.5,2,3,16,0,0,0,7,9,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
kg_base,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""M""],""40"":[""Y"",""W"",""F"",""H""],""41"":[""G""],""54"":[""C"",""A""]}",0,0,13,19,0,0,8,8,3.5,3,4,16,0,0,0,10,5,3,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,knowledge_filtered,119442,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""C"",""L"",""I""],""40"":[""Y"",""F"",""W""],""41"":[""G""],""54"":[""V"",""A"",""C""]}",0,8,20,4,0,5,11,0,2.6875,2,3,16,0,0,4,14,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""W"",""F""],""41"":[""G""],""54"":[""V""]}",0,11,21,0,0,5,11,0,2.6875,2,3,16,0,0,0,12,12,8,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I""],""40"":[""F"",""Y""],""41"":[""G""],""54"":[""V""]}",0,14,18,0,0,5,11,0,2.6875,2,3,16,0,0,0,12,10,5,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
kg_base_al,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,knowledge_filtered,119442,32,16,"[39,40,54]","[39,40,54]",3,3,4,True,"{""39"":[""L"",""I"",""M"",""C""],""40"":[""W"",""Y"",""F"",""H""],""41"":[""G""],""54"":[""V"",""C"",""A""]}",0,11,21,0,0,8,8,0,2.5,2,3,16,0,0,3,10,0,0,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_01/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_01/llm/scientist/conversations/00001_reasoning_draft_attempt-00.json
kg_base_al,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,knowledge_filtered,119426,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""C"",""A"",""V""]}",0,7,20,5,0,5,9,2,2.8125,2,4,16,0,0,1,7,16,8,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_02/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_02/llm/scientist/conversations/00067_reasoning_draft_attempt-00.json
kg_base_al,0,3,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,knowledge_filtered,119410,32,16,"[39,40,41,54]","[39,40,41,54]",4,4,4,True,"{""39"":[""L"",""I"",""C""],""40"":[""Y"",""F"",""W"",""H""],""41"":[""G""],""54"":[""C"",""A"",""V""]}",0,4,19,9,0,2,10,4,3.125,2,4,16,0,0,0,13,13,5,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_03/candidate_pool_receipt.json,artifacts/hierarchical-scientist-kg_base_kg_base_rag_kg_base_al/runs/knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z/round_03/llm/scientist/conversations/00133_reasoning_draft_attempt-00.json
