condition,round_id,metric,mean,sd,min,max,n_folds
kg_base,1,new_position_residue_pair_count_vs_campaign_selected,14.6666666667,0.57735026919,14,15,3
kg_base,1,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base,1,scientist_preferred_position_count,4,0,4,4,3
kg_base,1,selected_batch_size,16,0,16,16,3
kg_base,1,selected_depth_1_count,0,0,0,0,3
kg_base,1,selected_depth_2_count,1.66666666667,2.88675134595,0,5,3
kg_base,1,selected_depth_3_count,13.3333333333,2.51661147842,11,16,3
kg_base,1,selected_depth_4_count,1,1.73205080757,0,3,3
kg_base,1,selected_mean_mutation_count,2.95833333333,0.25259074277,2.6875,3.1875,3
kg_base,1,selected_unique_mutated_position_count,4,0,4,4,3
kg_base,1,strict_add_one_from_previous_round_count,0,0,0,0,3
kg_base,2,candidate_depth_1_count,0,0,0,0,3
kg_base,2,candidate_depth_2_count,10.3333333333,8.02080627701,2,18,3
kg_base,2,candidate_depth_3_count,18,3.60555127546,14,21,3
kg_base,2,candidate_depth_4_count,3.66666666667,6.35085296109,0,11,3
kg_base,2,candidate_pool_size,32,0,32,32,3
kg_base,2,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base,2,catalog_remaining,119426,0,119426,119426,3
kg_base,2,hamming_one_from_previous_round_count,10.3333333333,1.52752523165,9,12,3
kg_base,2,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base,2,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
kg_base,2,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base,2,new_position_residue_pair_count_vs_campaign_selected,10.3333333333,2.88675134595,7,12,3
kg_base,2,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base,2,scientist_preferred_position_count,4,0,4,4,3
kg_base,2,selected_batch_size,16,0,16,16,3
kg_base,2,selected_depth_1_count,0,0,0,0,3
kg_base,2,selected_depth_2_count,4.33333333333,4.04145188433,0,8,3
kg_base,2,selected_depth_3_count,10,1.73205080757,8,11,3
kg_base,2,selected_depth_4_count,1.66666666667,2.88675134595,0,5,3
kg_base,2,selected_mean_mutation_count,2.83333333333,0.425428705347,2.5,3.3125,3
kg_base,2,selected_unique_mutated_position_count,4,0,4,4,3
kg_base,2,strict_add_one_from_previous_round_count,3,4.35889894354,0,8,3
kg_base,3,candidate_depth_1_count,0,0,0,0,3
kg_base,3,candidate_depth_2_count,4.66666666667,8.08290376865,0,14,3
kg_base,3,candidate_depth_3_count,14,3.60555127546,11,18,3
kg_base,3,candidate_depth_4_count,13.3333333333,11.5902257671,0,21,3
kg_base,3,candidate_pool_size,32,0,32,32,3
kg_base,3,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base,3,catalog_remaining,119410,0,119410,119410,3
kg_base,3,hamming_one_from_previous_round_count,6.66666666667,2.88675134595,5,10,3
kg_base,3,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base,3,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
kg_base,3,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base,3,new_position_residue_pair_count_vs_campaign_selected,11,1,10,12,3
kg_base,3,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base,3,scientist_preferred_position_count,4,0,4,4,3
kg_base,3,selected_batch_size,16,0,16,16,3
kg_base,3,selected_depth_1_count,0,0,0,0,3
kg_base,3,selected_depth_2_count,1.66666666667,2.88675134595,0,5,3
kg_base,3,selected_depth_3_count,8.33333333333,2.51661147842,6,11,3
kg_base,3,selected_depth_4_count,6,5.29150262213,0,10,3
kg_base,3,selected_mean_mutation_count,3.27083333333,0.509032988453,2.6875,3.625,3
kg_base,3,selected_unique_mutated_position_count,4,0,4,4,3
kg_base,3,strict_add_one_from_previous_round_count,3,2,1,5,3
kg_base_al,1,candidate_depth_1_count,0,0,0,0,3
kg_base_al,1,candidate_depth_2_count,13,2.64575131106,11,16,3
kg_base_al,1,candidate_depth_3_count,19,2.64575131106,16,21,3
kg_base_al,1,candidate_depth_4_count,0,0,0,0,3
kg_base_al,1,candidate_pool_size,32,0,32,32,3
kg_base_al,1,candidate_pool_unique_mutated_position_count,3.33333333333,0.57735026919,3,4,3
kg_base_al,1,catalog_remaining,119442,0,119442,119442,3
kg_base_al,1,hamming_one_from_previous_round_count,0,0,0,0,3
kg_base_al,1,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_al,1,new_mutated_position_count_vs_campaign_selected,3,0,3,3,3
kg_base_al,1,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,1,new_position_residue_pair_count_vs_campaign_selected,10,1,9,11,3
kg_base_al,1,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,1,scientist_preferred_position_count,4,0,4,4,3
kg_base_al,1,selected_batch_size,16,0,16,16,3
kg_base_al,1,selected_depth_1_count,0,0,0,0,3
kg_base_al,1,selected_depth_2_count,8,0,8,8,3
kg_base_al,1,selected_depth_3_count,8,0,8,8,3
kg_base_al,1,selected_depth_4_count,0,0,0,0,3
kg_base_al,1,selected_mean_mutation_count,2.5,0,2.5,2.5,3
kg_base_al,1,selected_unique_mutated_position_count,3,0,3,3,3
kg_base_al,1,strict_add_one_from_previous_round_count,0,0,0,0,3
kg_base_al,2,candidate_depth_1_count,0,0,0,0,3
kg_base_al,2,candidate_depth_2_count,7.66666666667,2.08166599947,6,10,3
kg_base_al,2,candidate_depth_3_count,19.3333333333,1.15470053838,18,20,3
kg_base_al,2,candidate_depth_4_count,5,1,4,6,3
kg_base_al,2,candidate_pool_size,32,0,32,32,3
kg_base_al,2,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base_al,2,catalog_remaining,119426,0,119426,119426,3
kg_base_al,2,hamming_one_from_previous_round_count,14,1.73205080757,13,16,3
kg_base_al,2,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_al,2,new_mutated_position_count_vs_campaign_selected,1,0,1,1,3
kg_base_al,2,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,2,new_position_residue_pair_count_vs_campaign_selected,6.66666666667,0.57735026919,6,7,3
kg_base_al,2,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,2,scientist_preferred_position_count,4,0,4,4,3
kg_base_al,2,selected_batch_size,16,0,16,16,3
kg_base_al,2,selected_depth_1_count,0,0,0,0,3
kg_base_al,2,selected_depth_2_count,4,1,3,5,3
kg_base_al,2,selected_depth_3_count,9.66666666667,1.15470053838,9,11,3
kg_base_al,2,selected_depth_4_count,2.33333333333,0.57735026919,2,3,3
kg_base_al,2,selected_mean_mutation_count,2.89583333333,0.0721687836487,2.8125,2.9375,3
kg_base_al,2,selected_unique_mutated_position_count,4,0,4,4,3
kg_base_al,2,strict_add_one_from_previous_round_count,7.33333333333,2.08166599947,5,9,3
kg_base_al,3,candidate_depth_1_count,0,0,0,0,3
kg_base_al,3,candidate_depth_2_count,5,1,4,6,3
kg_base_al,3,candidate_depth_3_count,22,2.64575131106,19,24,3
kg_base_al,3,candidate_depth_4_count,5,3.60555127546,2,9,3
kg_base_al,3,candidate_pool_size,32,0,32,32,3
kg_base_al,3,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base_al,3,catalog_remaining,119410,0,119410,119410,3
kg_base_al,3,hamming_one_from_previous_round_count,11.3333333333,2.08166599947,9,13,3
kg_base_al,3,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_al,3,new_mutated_position_count_vs_campaign_selected,0,0,0,0,3
kg_base_al,3,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,3,new_position_residue_pair_count_vs_campaign_selected,8.33333333333,4.04145188433,6,13,3
kg_base_al,3,new_position_residue_pair_count_vs_pre_round_visible,0,0,0,0,3
kg_base_al,3,scientist_preferred_position_count,4,0,4,4,3
kg_base_al,3,selected_batch_size,16,0,16,16,3
kg_base_al,3,selected_depth_1_count,0,0,0,0,3
kg_base_al,3,selected_depth_2_count,1.66666666667,0.57735026919,1,2,3
kg_base_al,3,selected_depth_3_count,12.6666666667,2.51661147842,10,15,3
kg_base_al,3,selected_depth_4_count,1.66666666667,2.08166599947,0,4,3
kg_base_al,3,selected_mean_mutation_count,3,0.108253175473,2.9375,3.125,3
kg_base_al,3,selected_unique_mutated_position_count,4,0,4,4,3
kg_base_al,3,strict_add_one_from_previous_round_count,2.66666666667,2.08166599947,1,5,3
kg_base_rag,1,candidate_depth_1_count,0,0,0,0,3
kg_base_rag,1,candidate_depth_2_count,9.33333333333,7.63762615826,1,16,3
kg_base_rag,1,candidate_depth_3_count,18.3333333333,2.51661147842,16,21,3
kg_base_rag,1,candidate_depth_4_count,4.33333333333,7.50555349947,0,13,3
kg_base_rag,1,candidate_pool_size,32,0,32,32,3
kg_base_rag,1,candidate_pool_unique_mutated_position_count,4,0,4,4,3
kg_base_rag,1,catalog_remaining,119442,0,119442,119442,3
kg_base_rag,1,hamming_one_from_previous_round_count,0,0,0,0,3
kg_base_rag,1,new_complete_variant_count_vs_pre_round_visible,16,0,16,16,3
kg_base_rag,1,new_mutated_position_count_vs_campaign_selected,4,0,4,4,3
kg_base_rag,1,new_mutated_position_count_vs_pre_round_visible,0,0,0,0,3
kg_base_rag,1,new_position_residue_pair_count_vs_campaign_selected,15.6666666667,3.7859388972,13,20,3
