condition,fold,seed,assignment_sha256,run_id,round_id,query_budget,visible_observations,best_seen_fitness,visible_mean_fitness,batch_best_fitness,batch_mean_fitness,batch_median_fitness,best_seen_gain_from_initial
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,0,0,96,4.07312564853,0.5963860688464507,,,,0.0
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,1,16,112,5.15691840607,0.7196694813412206,5.15691840607,1.4593699563098392,0.5230407405994999,1.0837927575400004
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,2,32,128,6.12380479492,0.9950422347970991,6.12380479492,2.922651508988249,3.035725555485,2.0506791463900003
kg_3features_base,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-kg_3features_base-f02-20260821T111821854847Z,3,48,144,6.12380479492,0.9826426988110603,5.44604035341,0.8834464109227493,0.15064708155255,2.0506791463900003
