condition,round_id,core_arms,core_candidate_fraction,full_batch_wet_mean,core_arms_wet_mean,supporting_arms_wet_mean,batch_mix_gap_core_minus_full
kg_base,1,hypothesis_target,0.5,2.37347054386,2.71574781227,2.03119327545,0.342277268409
kg_base,2,hypothesis_target,0.333333333333,1.66652457428,3.1104854558,0.944544133515,1.44396088153
kg_base,3,hypothesis_target,0.5,1.15435598122,1.59906734453,0.709644617904,0.444711363311
kg_base_al,1,exploitation+knowledge,0.75,3.33100364238,3.59068448695,2.55196110869,0.259680844564
kg_base_al,2,exploitation+knowledge,0.75,2.16380176268,2.69821317426,0.560567527923,0.534411411585
kg_base_al,3,exploitation+knowledge,0.75,1.87971732286,2.46082683087,0.136388798815,0.581109508014
kg_base_rag,1,hypothesis_target,0.5,2.15996426024,2.25084019808,2.0690883224,0.0908759378395
kg_base_rag,2,hypothesis_target,0.5,2.24194102944,2.91257104269,1.57131101619,0.670630013252
kg_base_rag,3,hypothesis_target,0.5,1.35469678462,1.8392130556,0.870180513639,0.484516270981
