condition,fold,round_id,run_id,receipt_type,arm,n,wet_mean,wet_median,wet_max,predicted_mean,fraction_le_0_05,fraction_ge_2
kg_base,1,3,knowledge_agent-s11-f01-GB1-hierarchical-kg_base-f01-20260820T220557763461Z,agent_uq_8_3_3_2,matched_control,2,1.33425806139,1.33425806139,2.65898610418,1.33199518919,0.5,0.5
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,coverage_exploration,3,2.34824473781,2.13297049761,3.44021840935,1.99977970123,0,0.666666666667
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,evidence_prior,3,3.22359034821,4.38774529032,5.07529943739,3.08379753431,0,0.666666666667
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,hypothesis_target,8,2.48482753438,2.60366529821,4.04596052161,2.76456198096,0,0.75
kg_base,2,1,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,matched_control,2,0.0134354575888,0.0134354575888,0.0268709151776,0.773163378239,1,0
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,coverage_exploration,3,0.695910744547,0.0256152649356,2.0468347464,1.71728322903,0.666666666667,0.333333333333
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,evidence_prior,3,0.0257328217843,0.00840349847298,0.0644212966436,1.6043938001,0.666666666667,0
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,fallback_fill,5,0.337342427479,0.0152654009262,1.64189870025,1.24053307772,0.8,0
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,hypothesis_target,3,3.3740882255,3.16744549033,4.02906611368,3.21801273028,0,1
kg_base,2,2,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,matched_control,2,1.19309701596,1.19309701596,1.38415205758,1.00750607252,0,0
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,coverage_exploration,3,0.900106138499,0.0267015283197,2.65898610418,0.751511484385,0.666666666667,0.333333333333
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,evidence_prior,3,1.10076906255,1.07408531207,1.34723972798,1.88733681043,0,0
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,hypothesis_target,8,1.46395162764,1.25858748442,3.60057588419,1.65603226423,0.25,0.5
kg_base,2,3,knowledge_agent-s11-f02-GB1-hierarchical-kg_base-f02-20260820T222047896228Z,agent_uq_8_3_3_2,matched_control,2,1.2950864444,1.2950864444,2.5805060492,0.626709878445,0.5,0.5
kg_base_al,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploitation,8,3.8566824169,3.75665006225,5.07529943739,3.2924567759,0,1
kg_base_al,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploration,4,2.52301065261,2.52601107405,3.56847515585,2.27350157499,0,0.75
kg_base_al,0,1,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,knowledge,4,3.84828391426,4.05401174833,4.4857497292,3.45449155569,0,1
kg_base_al,0,2,knowledge_agent-s11-f00-GB1-hierarchical-kg_base_al-f00-20260820T215844624477Z,active_learning_8_4_4,exploitation,8,3.12902162346,3.0172175534,4.11276429473,3.05809110403,0,1
