condition,round_id,folds,new_record_folds,best_seen_mean,best_seen_sd,mean_of_fold_batch_means,mean_of_fold_batch_medians,n,min,q10,q25,mean,median,q75,q90,max,sd,mean_without_batch_max,max_minus_median,top1_positive_mass_share,fraction_le_0_05,fraction_ge_2,fraction_above_initial_best
kg_base,1,3,3,4.6822662986,0.340376682724,2.37347054386,2.45665398385,48,0,0.0201473709216,1.47154530648,2.37347054386,2.43521830222,3.48423401082,4.33564342865,5.07529943739,1.43811203436,2.31598482272,2.64008113517,0.0445488591461,0.145833333333,0.729166666667,0.125
kg_base,2,3,1,4.87878286799,0.340376682724,1.66652457428,1.17801841088,48,0.00247479309085,0.00773020175004,0.0361954830612,1.66652457428,1.51302537892,3.12337289831,3.8121279348,5.07529943739,1.58802198216,1.59399744953,3.56227405847,0.0634466521392,0.270833333333,0.479166666667,0.0416666666667
kg_base,3,3,1,5.39269580707,0.549746638429,1.15435598122,0.583417045446,48,0.00137730319001,0.00473030295012,0.0132357889081,1.15435598122,0.56276184316,2.28166122832,2.73049895497,6.02748854644,1.3966810879,1.05067230961,5.46472670328,0.108781589124,0.416666666667,0.270833333333,0.0208333333333
kg_base_al,1,3,3,5.07529943739,0,3.33100364238,3.38215449061,48,0.690206817298,2.04420487213,2.7993624312,3.33100364238,3.35884837877,4.03328971566,4.38774529032,5.07529943739,0.972924776558,3.29389096589,1.71645105862,0.0317428067626,0,0.916666666667,0.1875
kg_base_al,2,3,0,5.07529943739,0,2.16380176268,2.53757355145,48,0.00238333334618,0.0504880312799,0.50846873156,2.16380176268,2.4791747561,3.12425436033,3.95087308632,4.4857497292,1.40514344973,2.11439861445,2.0065749731,0.0431893165863,0.104166666667,0.645833333333,0.0625
kg_base_al,3,3,1,5.12661506006,0.0888812656865,1.87971732286,2.05534686837,48,0.00367224930928,0.0241119301826,0.171070594954,1.87971732286,2.27640758055,2.8281134757,3.57188382199,5.2292463054,1.43523945289,1.80845074876,2.95283872485,0.057956922585,0.166666666667,0.583333333333,0.0416666666667
kg_base_rag,1,3,3,5.01477575773,0.104830088232,2.15996426024,2.00222969307,48,0.00316250001705,0.0145327752107,0.56043717631,2.15996426024,2.37596464393,2.97126333331,4.28373249198,5.07529943739,1.53369935069,2.09793585222,2.69933479346,0.0489523863389,0.145833333333,0.625,0.125
kg_base_rag,2,3,1,5.07529943739,0,2.24194102944,2.62693933161,48,0.00134354575888,0.0151772957967,0.376270835017,2.24194102944,2.498061086,3.55799324827,4.04596052161,5.07529943739,1.62177051271,2.18165680799,2.57723835139,0.0471624380647,0.1875,0.645833333333,0.0833333333333
kg_base_rag,3,3,0,5.07529943739,0,1.35469678462,1.15102873379,48,0.00367224930928,0.00869583829761,0.0342832115399,1.35469678462,0.523469023023,2.67689014085,3.31277458162,4.49222585755,1.44301576583,1.2879408469,3.96875683453,0.069084122559,0.291666666667,0.375,0.0208333333333
