condition,round_id,n_folds,preferred_site_count_mean_mean,preferred_site_count_mean_sd,fraction_position_41_G_mean,fraction_position_41_G_sd,fraction_all_four_preferred_mean,fraction_all_four_preferred_sd,wet_mean_position_41_G_mean,wet_mean_position_41_G_sd,wet_mean_position_41_non_G_mean,wet_mean_position_41_non_G_sd,preferred_count_wet_pearson_mean,preferred_count_wet_pearson_sd
kg_base,1,3,3.35416666667,0.0360843918244,0.895833333333,0.0721687836487,0.5,0.0625,2.60097727381,0.150193857722,0.749682089302,1.12014341914,0.756288456801,0.0247560138745
kg_base,2,3,3.02083333333,0.0954703269782,0.645833333333,0.130104124967,0.270833333333,0.130104124967,2.46028159164,0.754115237186,0.117895787763,0.130975151376,0.757397584613,0.160792461188
kg_base,3,3,2.77083333333,0.0360843918244,0.5625,0.286410980935,0.0625,0.108253175473,1.68218986234,0.325434855652,0.380221107579,0.482637840928,0.30496598952,0.312628707912
kg_base_al,1,3,3.70833333333,0.130104124967,1,0,0.708333333333,0.130104124967,3.33100364238,0.1693196912,,,0.510570465066,0.213527705538
kg_base_al,2,3,3.27083333333,0.0721687836487,0.791666666667,0.0360843918244,0.395833333333,0.0721687836487,2.59928929111,0.199368817631,0.465882996292,0.586767241865,0.739295556158,0.0796015705059
kg_base_al,3,3,3.04166666667,0.236621181075,0.875,0.108253175473,0.1875,0.165359456942,2.12295963081,0.256923426644,0.0274240069511,0.0371173307424,0.413167558379,0.307260074957
kg_base_rag,1,3,3.125,0.286410980935,0.833333333333,0.130104124967,0.333333333333,0.200909390854,2.3594926043,0.742036538312,0.580262817813,0.565677012728,0.612800513829,0.20895084692
kg_base_rag,2,3,3.125,0.165359456942,0.604166666667,0.200909390854,0.4375,0.165359456942,3.15523464574,0.0941172839486,0.538062112384,0.866446517462,0.781399888257,0.16161702204
kg_base_rag,3,3,2.9375,0.225346954716,0.5625,0.165359456942,0.208333333333,0.0954703269782,1.97277864741,0.36901326174,0.472479329248,0.515939179771,0.633817754247,0.102568124254
