condition,metric,direction,mean,sd,n
kg_base_rag,ndcg,higher,0.714059594145,0.0157140344058,3
kg_base_rag,top_k_hit,higher,0.333333333333,0.57735026919,3
kg_base_rag,top_k_recall,higher,0.0333333333333,0.057735026919,3
kg_base_rag,regret_at_k,lower,3.51285907435,1.07169279956,3
kg_base_rag,interval_90_coverage_error,lower,0.0648085872482,0.0271154110949,3
kg_base_rag,gaussian_nll,lower,0.22065907197,0.17457427632,3
kg_3features_rag,final_best_seen,higher,5.07529943739,0,3
kg_3features_rag,delta_best_seen,higher,1.00217378886,0,3
kg_3features_rag,best_seen_aulc,higher,4.83187556735,0.132319857298,3
kg_3features_rag,r3_batch_best,higher,3.92055003269,0.187955365719,3
kg_3features_rag,r3_batch_mean,higher,1.35556832894,0.430043816812,3
kg_3features_rag,r3_batch_median,higher,1.18640498268,0.833035501272,3
kg_3features_rag,spearman,higher,0.243196039478,0.00380321337729,3
kg_3features_rag,pearson,higher,0.238211913073,0.00333208985231,3
kg_3features_rag,mse,lower,0.530109580937,0.110014528059,3
kg_3features_rag,rmse,lower,0.725279590255,0.0782217702716,3
kg_3features_rag,ndcg,higher,0.710868901602,0.00300372768844,3
kg_3features_rag,top_k_hit,higher,0,0,3
kg_3features_rag,top_k_recall,higher,0,0,3
kg_3features_rag,regret_at_k,lower,4.36061058622,1.15106466853,3
kg_3features_rag,interval_90_coverage_error,lower,0.0752142849055,0.00800046378064,3
kg_3features_rag,gaussian_nll,lower,0.224282687005,0.0693896134082,3
kg_base_al,final_best_seen,higher,5.12661506006,0.0888812656865,3
kg_base_al,delta_best_seen,higher,1.05348941153,0.0888812656865,3
kg_base_al,best_seen_aulc,higher,4.91682307636,0.0148135442811,3
kg_base_al,r3_batch_best,higher,4.45035876054,0.740382506775,3
kg_base_al,r3_batch_mean,higher,1.87971732286,0.418301709699,3
kg_base_al,r3_batch_median,higher,2.05534686837,0.768163504579,3
kg_base_al,spearman,higher,0.242343209969,0.0622555760984,3
kg_base_al,pearson,higher,0.208545620366,0.0529106020656,3
kg_base_al,mse,lower,0.666470340771,0.32869974193,3
kg_base_al,rmse,lower,0.796432541577,0.219655005025,3
kg_base_al,ndcg,higher,0.699219048345,0.012639558237,3
kg_base_al,top_k_hit,higher,0,0,3
kg_base_al,top_k_recall,higher,0,0,3
kg_base_al,regret_at_k,lower,4.28243539618,1.06216552994,3
kg_base_al,interval_90_coverage_error,lower,0.0576638699231,0.0265152800328,3
kg_base_al,gaussian_nll,lower,0.317367071671,0.186504421134,3
