comparison_id,condition,reference,fold,metric,condition_value,reference_value,delta
kg_memory,kg_base,agent_only,0,final_best_seen,6.02748854644,4.4857497292,1.54173881724
kg_memory,kg_base,agent_only,0,r3_batch_mean,1.13292187786,1.9093858925,-0.776464014648
kg_memory,kg_base,agent_only,0,r3_batch_median,0.33357783706,2.27425512883,-1.94067729177
kg_memory,kg_base,agent_only,0,best_seen_aulc,4.67393551863,4.27943768887,0.394497829763
kg_memory,kg_base,agent_only,1,final_best_seen,5.07529943739,4.4857497292,0.58954970819
kg_memory,kg_base,agent_only,1,r3_batch_mean,1.06112034622,1.00917453235,0.0519458138715
kg_memory,kg_base,agent_only,1,r3_batch_median,0.439139569438,0.0825905408117,0.356549028627
kg_memory,kg_base,agent_only,1,best_seen_aulc,4.71175390318,4.27943768887,0.432316214318
kg_memory,kg_base,agent_only,2,final_best_seen,5.07529943739,4.38774529032,0.68755414707
kg_memory,kg_base,agent_only,2,r3_batch_mean,1.26902571957,2.04932969173,-0.780303972165
kg_memory,kg_base,agent_only,2,r3_batch_median,0.977533729839,2.40981536962,-1.43228163978
kg_memory,kg_base,agent_only,2,best_seen_aulc,4.90827047258,4.23624887541,0.672021597165
three_channels_without_rag,kg_3features_base,kg_base,0,final_best_seen,5.07529943739,6.02748854644,-0.95218910905
three_channels_without_rag,kg_3features_base,kg_base,0,r3_batch_mean,1.26631543097,1.13292187786,0.133393553116
three_channels_without_rag,kg_3features_base,kg_base,0,r3_batch_median,0.442067102318,0.33357783706,0.108489265258
three_channels_without_rag,kg_3features_base,kg_base,0,best_seen_aulc,4.90827047258,4.67393551863,0.234334953952
three_channels_without_rag,kg_3features_base,kg_base,1,final_best_seen,5.77203220934,5.07529943739,0.69673277195
three_channels_without_rag,kg_3features_base,kg_base,1,r3_batch_mean,1.49401737732,1.06112034622,0.432897031103
three_channels_without_rag,kg_3features_base,kg_base,1,r3_batch_median,1.45985337592,0.439139569438,1.02071380649
three_channels_without_rag,kg_3features_base,kg_base,1,best_seen_aulc,4.58132402893,4.71175390318,-0.130429874255
three_channels_without_rag,kg_3features_base,kg_base,2,final_best_seen,6.12380479492,5.07529943739,1.04850535753
three_channels_without_rag,kg_3features_base,kg_base,2,r3_batch_mean,0.883446410923,1.26902571957,-0.385579308646
three_channels_without_rag,kg_3features_base,kg_base,2,r3_batch_median,0.150647081553,0.977533729839,-0.826886648286
three_channels_without_rag,kg_3features_base,kg_base,2,best_seen_aulc,5.45972947424,4.90827047258,0.551459001658
rag_without_three_channels,kg_base_rag,kg_base,0,final_best_seen,5.07529943739,6.02748854644,-0.95218910905
rag_without_three_channels,kg_base_rag,kg_base,0,r3_batch_mean,1.79916445327,1.13292187786,0.666242575412
rag_without_three_channels,kg_base_rag,kg_base,0,r3_batch_median,1.67481177331,0.33357783706,1.34123393624
rag_without_three_channels,kg_base_rag,kg_base,0,best_seen_aulc,4.90827047258,4.67393551863,0.234334953952
rag_without_three_channels,kg_base_rag,kg_base,1,final_best_seen,5.07529943739,5.07529943739,0
rag_without_three_channels,kg_base_rag,kg_base,1,r3_batch_mean,0.814333492891,1.06112034622,-0.246786853331
rag_without_three_channels,kg_base_rag,kg_base,1,r3_batch_median,0.257255572584,0.439139569438,-0.181883996854
rag_without_three_channels,kg_base_rag,kg_base,1,best_seen_aulc,4.84774679292,4.71175390318,0.135992889737
rag_without_three_channels,kg_base_rag,kg_base,2,final_best_seen,5.07529943739,5.07529943739,0
rag_without_three_channels,kg_base_rag,kg_base,2,r3_batch_mean,1.4505924077,1.26902571957,0.181566688135
